# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    0.0000000      0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000   2.3880941   0.0000000   0.0000000
    0.0001558      0.0569300   0.0569300   0.0232607   0.0000434   0.0157606  -0.0000002   2.3875043   0.0072287  -0.0000403
    0.0006232      0.2277138   0.2277129   0.0928263   0.0006763   0.0616996  -0.0000137   2.3858957   0.0288040  -0.0006151
    0.0014021      0.5123327   0.5123111   0.2081498   0.0032786   0.1339417  -0.0001602   2.3837453   0.0635452  -0.0028761
    0.0024924      0.9107555   0.9105424   0.3685701   0.0097577   0.2267457  -0.0009259   2.3818383   0.1083506  -0.0081448
    0.0038941      1.4229384   1.4216541   0.5730418   0.0220787   0.3332307  -0.0036150   2.3812484   0.1573218  -0.0173200
    0.0056069      2.0488253   2.0432461   0.8187936   0.0418048   0.4462380  -0.0108793   2.3832900   0.2025792  -0.0305024
    0.0076308      2.7883476   2.7692743   1.0987376   0.0697808   0.5591733  -0.0269114   2.3893929   0.2363572  -0.0469827
    0.0099653      3.6414242   3.5874128   1.3990641   0.1060285   0.6668178  -0.0566820   2.4008948   0.2537821  -0.0655235
    0.0126104      4.6079615   4.4770200   1.6996679   0.1498582   0.7659190  -0.1040633   2.4187715   0.2551956  -0.0847225
    0.0155657      5.6878535   5.4094181   1.9784024   0.2001148   0.8552713  -0.1697629   2.4434053   0.2466634  -0.1032648
    0.0188309      6.8809818   6.3512581   2.2168276   0.2554441   0.9351960  -0.2504837   2.4744514   0.2379268  -0.1199965
    0.0224056      8.1872156   7.2698935   2.4041297   0.3144736   1.0066860  -0.3398846   2.5108532   0.2386602  -0.1339322
    0.0262895      9.6064116   8.1385240   2.5377751   0.3758875   1.0706576  -0.4306677   2.5509713   0.2551105  -0.1442995
    0.0304820     11.1384142   8.9392159   2.6216206   0.4384303   1.1275954  -0.5165846   2.5927971   0.2885924  -0.1506827
    0.0349828     12.7830553   9.6632392   2.6630901   0.5009007   1.1776159  -0.5935386   2.6342045   0.3361499  -0.1531348
    0.0397914     14.5401548  10.3094087   2.6707496   0.5621651   1.2207488  -0.6596837   2.6731400   0.3924696  -0.1521923
    0.0449072     16.4095197  10.8816063   2.6528189   0.6212061   1.2571780  -0.7149066   2.7078099   0.4520646  -0.1487206
    0.0503297     18.3909453  11.3864853   2.6164414   0.6771870   1.2872962  -0.7601104   2.7368350   0.5105024  -0.1437334
    0.0560583     20.4842141  11.8318292   2.5674742   0.7294995   1.3116615  -0.7966155   2.7594395   0.5646024  -0.1382147
    0.0620923     22.6890966  12.2255481   2.5105426   0.7777656   1.3309292  -0.8257866   2.7753460   0.6123241  -0.1330167
    0.0684311     25.0053510  12.5751236   2.4492179   0.8218032   1.3458041  -0.8488591   2.7846565   0.6524632  -0.1287117
    0.0750739     27.4327234  12.8873430   2.3862140   0.8615787   1.3569846  -0.8669010   2.7876424   0.6845557  -0.1256032
    0.0820202     29.9709475  13.1681498   2.3235716   0.8971596   1.3651602  -0.8808095   2.7847945   0.7087961  -0.1237022
    0.0892690     32.6197450  13.4226779   2.2628031   0.9286752   1.3709704  -0.8913196   2.7766903   0.7257812  -0.1229705
    0.0968197     35.3788254  13.6553369   2.2049980   0.9563135   1.3748399  -0.8990971   2.7639626   0.7358459  -0.1233110
    0.1046713     38.2478862  13.8699327   2.1507668   0.9803193   1.3770114  -0.9046797   2.7473154   0.7393072  -0.1246382
    0.1128231     41.2266127  14.0697479   2.1003356   1.0009678   1.3777158  -0.9083819   2.7275097   0.7366871  -0.1267175
    0.1212741     44.3146782  14.2575375   2.0538066   1.0185171   1.3772471  -0.9104389   2.7052516   0.7288877  -0.1292569
    0.1300233     47.5117443  14.4354314   2.0112363   1.0332242   1.3758015  -0.9111649   2.6810216   0.7169241  -0.1319038
    0.1390699     50.8174601  14.6051421   1.9724742   1.0453470   1.3735162  -0.9108178   2.6553560   0.7018383  -0.1345106
    0.1484129     54.2314633  14.7682121   1.9371513   1.0551260   1.3705598  -0.9095497   2.6286239   0.6841039  -0.1369452
    0.1580512     57.7533795  14.9259884   1.9048714   1.0627969   1.3670744  -0.9074812   2.6012579   0.6645660  -0.1391825
    0.1679837     61.3828224  15.0794744   1.8752153   1.0686023   1.3630579  -0.9046840   2.5737445   0.6439023  -0.1410633
    0.1782094     65.1193940  15.2294755   1.8478991   1.0727823   1.3584168  -0.9011998   2.5464637   0.6228714  -0.1425345
    0.1887272     68.9626846  15.3767546   1.8226458   1.0755590   1.3531754  -0.8970473   2.5195814   0.6022166  -0.1435479
    0.1995359     72.9122726  15.5219699   1.7992225   1.0770934   1.3474188  -0.8922267   2.4931357   0.5822164  -0.1442655
    0.2106342     76.9677251  15.6655300   1.7773102   1.0775163   1.3410964  -0.8867663   2.4671267   0.5631861  -0.1446671
    0.2220211     81.1285973  15.8077693   1.7567052   1.0769536   1.3342900  -0.8807405   2.4415456   0.5453990  -0.1448963
    0.2336953     85.3944328  15.9489070   1.7373126   1.0754575   1.3271386  -0.8742189   2.4164520   0.5293409  -0.1449771
    0.2456553     89.7647639  16.0891692   1.7190683   1.0730542   1.3196910  -0.8671770   2.3918812   0.5153042  -0.1449262
    0.2579001     94.2391113  16.2287838   1.7016902   1.0698204   1.3120655  -0.8596085   2.3678968   0.5035105  -0.1447808
    0.2704282     98.8169844  16.3679856   1.6850041   1.0658588   1.3042952  -0.8514936   2.3443860   0.4933353  -0.1444674
    0.2832382    103.4978811  16.5069623   1.6688085   1.0612662   1.2963467  -0.8429006   2.3212947   0.4847066  -0.1439885
    0.2963287    108.2812882  16.6459417   1.6527933   1.0561098   1.2881110  -0.8337532   2.2986131   0.4773067  -0.1433691
    0.3096984    113.1666811  16.7851900   1.6368597   1.0503934   1.2794239  -0.8239625   2.2761768   0.4711543  -0.1428160
    0.3233456    118.1535240  16.9248915   1.6211313   1.0440984   1.2702633  -0.8135054   2.2536983   0.4662019  -0.1423247
    0.3372691    123.2412700  17.0650348   1.6054640   1.0372368   1.2605432  -0.8025140   2.2312183   0.4630243  -0.1419076
    0.3514671    128.4293614  17.2056480   1.5895820   1.0298481   1.2503451  -0.7908881   2.2088992   0.4612281  -0.1414806
    0.3659382    133.7172290  17.3467039   1.5734377   1.0219190   1.2397064  -0.7784994   2.1864562   0.4604098  -0.1410762
    0.3806807    139.1042931  17.4882019   1.5568416   1.0134520   1.2285137  -0.7652708   2.1637868   0.4602946  -0.1406831
    0.3956931    144.5899628  17.6300440   1.5397462   1.0044217   1.2166467  -0.7512622   2.1408510   0.4609414  -0.1403824
    0.4109737    150.1736367  17.7721055   1.5222274   0.9947737   1.2038812  -0.7364935   2.1175057   0.4623077  -0.1400158
    0.4265208    155.8547024  17.9143954   1.5042191   0.9845442   1.1899258  -0.7209806   2.0938150   0.4644765  -0.1395332
    0.4423328    161.6325369  18.0569588   1.4855689   0.9737473   1.1749972  -0.7046695   2.0694156   0.4671234  -0.1387369
    0.4584078    167.5065067  18.1998668   1.4661737   0.9623644   1.1593622  -0.6875689   2.0443489   0.4701634  -0.1377568
